(all times in ms),, Lotkavolterra,,,,,,,,,,,, Pendulum,,,,,,,,,,,, Lorenz,,,,,,,,,,,, Lorenz-ExtraOut,,,,,,,,,,,
,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,
0.6.0a4, 27/07/2023 19:01:00,1.3026,0.0252,0.127,0.0003,0.237,0.0077,13.1688,0.277,0.7357,0.0104,2.0835,0.0676,0.9441,0.0522,0.1292,0.0056,0.1934,0.01,8.5366,0.0426,0.7844,0.0494,1.6277,0.0193,1.7297,0.0254,0.1885,0.0038,0.359,0.0067,25.4444,0.1438,2.2064,0.148,5.15,0.1446,2.1667,0.1251,0.2131,0.0095,0.654,0.0405,32.0478,1.1447,2.071,0.0607,9.6978,0.4326
0.7.0.dev7, 27/08/2023 01:12:37,1.2641,0.0062,0.1031,0.0019,0.2173,0.0053,12.2412,0.0395,0.569,0.0008,1.9169,0.0142,0.8811,0.0057,0.0958,0.0004,0.1712,0.0007,8.4969,0.0834,0.5321,0.0026,1.4975,0.0028,1.6713,0.0148,0.1467,0.0011,0.3058,0.0012,26.5646,1.9359,1.5104,0.0006,4.2413,0.0166,2.0245,0.0408,0.1609,0.0097,0.5685,0.0021,29.3066,0.1643,1.5506,0.0036,8.2832,0.031
0.7.0a1, 27/08/2023 01:22:52,1.2283,0.0057,0.101,0.0001,0.2117,0.001,11.9199,0.0385,0.5796,0.0084,1.8945,0.0104,0.8679,0.0094,0.0958,0.0005,0.1726,0.0033,8.2955,0.0659,0.5338,0.001,1.4996,0.0135,1.6907,0.029,0.1458,0.0004,0.3058,0.0036,24.5503,0.1658,1.5368,0.037,4.3002,0.1004,2.0103,0.0434,0.1557,0.0013,0.5757,0.0059,28.7147,0.0734,1.5439,0.0018,8.2652,0.0295
0.7.0a6, 28/08/2023 15:53:37,1.2422,0.0017,0.1071,0.0001,0.2161,0.0008,12.0481,0.0702,0.5705,0.0113,2.0538,0.0396,0.8788,0.0042,0.1046,0.0002,0.1716,0.0003,8.3498,0.0205,0.5435,0.0008,1.4974,0.0019,1.6924,0.0167,0.1459,0.0001,0.3222,0.0085,24.6399,0.0578,1.3955,0.0234,4.2863,0.0472,1.98,0.0062,0.1529,0.0005,0.5698,0.0008,29.2582,0.4323,1.4362,0.002,8.3727,0.1087
0.7.1, 30/08/2023 13:05:11,1.2473,0.0174,0.0985,0.0005,0.211,0.002,12.1557,0.1808,0.5338,0.0012,1.9231,0.0144,0.8757,0.0034,0.0959,0,0.1693,0.0015,8.4225,0.0678,0.5282,0.0034,1.4849,0.0082,1.6579,0.0112,0.1361,0.0009,0.3019,0.0024,24.1373,0.0868,1.3549,0.0143,4.1917,0.0442,1.9731,0.0101,0.1435,0.0012,0.5592,0.0011,28.7442,0.0958,1.3859,0.0005,8.1105,0.0455
0.8.0, 06/09/2023 15:02:20,1.208,0.0171,0.0582,0.0001,0.2023,0.0008,11.8032,0.0256,0.4807,0.0012,1.8475,0.0119,0.8318,0.0034,0.0569,0.0002,0.1659,0.0003,8.1177,0.0578,0.4684,0.0018,1.4517,0.0058,1.6145,0.0023,0.0921,0.0005,0.2928,0.0011,23.649,0.0748,1.209,0.0118,4.015,0.0179,1.8902,0.0034,0.0969,0.0009,0.5533,0.0009,27.6976,0.0946,1.2947,0.0416,7.9394,0.014
0.8.3, 07/10/2023 02:39:08,1.2268,0.0292,0.067,0.0002,0.2042,0.0002,13.041,0.0369,1.0062,0.0659,2.6633,0.0087,0.8234,0.0038,0.0631,0.0002,0.1648,0.0001,8.8861,0.0427,0.7835,0.0085,2.1426,0.0023,1.6358,0.0049,0.1139,0.005,0.6746,0.0009,26.8571,0.1145,3.0055,0.0209,6.6462,0.1028,1.9187,0.0032,0.128,0.0045,0.9513,0.005,32.9776,0.377,4.3772,0.1087,10.95,0.0345
0.8.4, 18/10/2023 12:48:10,1.1825,0.007,0.0622,0.0001,0.2012,0.0008,11.7285,0.0223,0.5412,0.0092,1.8985,0.0613,0.8106,0.0029,0.0601,0.0012,0.1661,0.0004,7.9235,0.0105,0.4982,0.0007,1.4473,0.0029,1.6015,0.0058,0.0981,0.0003,0.2963,0.0039,23.509,0.0487,1.326,0.0138,4.0189,0.047,1.84,0.0072,0.1011,0.0002,0.5443,0.0013,27.124,0.0951,1.3706,0.0024,7.7848,0.0081
0.8.6, 13/02/2024 17:07:48,1.194,0.0018,0.0656,0.0001,0.2073,0.0006,12.087,0.1605,0.5541,0.0014,1.8434,0.0014,0.8268,0.0006,0.0641,0.0001,0.1746,0.0037,8.1272,0.0545,0.5381,0.0006,1.4994,0.0056,1.59,0.0112,0.0984,0.0001,0.2944,0.0007,23.5061,0.1064,1.2961,0.0085,3.9463,0.0073,1.8949,0.0107,0.1017,0.0001,0.6063,0.0029,28.015,0.1407,1.3543,0.0045,8.5997,0.003
0.9.0, 22/05/2024 22:14:31,1.196,0.013,0.0572,0.0002,0.2087,0.002,11.987,0.1021,0.5485,0.0132,2.0033,0.0304,0.8442,0.017,0.0573,0.0014,0.1752,0.0058,8.3417,0.2007,0.5387,0.0105,1.5645,0.052,1.7154,0.1224,0.0902,0.0011,0.2965,0.0014,23.8292,0.3713,1.2821,0.0044,4.1381,0.0798,1.9019,0.022,0.0982,0.0035,0.6217,0.0603,28.4668,0.4076,1.2589,0.0169,8.2552,0.328
0.10.2, 08/11/2024 11:01:14,1.282,0.0152,0.0677,0.0051,0.2105,0.0027,12.0276,0.239,0.6024,0.0323,2.1004,0.1252,0.8241,0.0072,0.0588,0.0008,0.1763,0.0045,8.0075,0.2124,0.5632,0.0183,1.4761,0.0137,1.5839,0.0111,0.0953,0.0011,0.2975,0.0098,23.2598,0.4245,1.3887,0.0382,4.1253,0.1807,1.9,0.0226,0.1015,0.0015,0.5913,0.0336,27.3948,0.5865,1.4385,0.0357,8.1818,0.0734
"After 0.11.0 Changes were made to functions: ""cython"" was `cyrk_ode` now is `pysolve_ivp`. ""CySolver"" was `CySolver` class method now is `cysolve_ivp`. Numba did not change.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.11.0, 08/11/2024 13:33:35,1.4157,0.1032,0.0647,0.001,0.2163,0.0069,13.2409,0.2058,0.5789,0.0121,1.912,0.1314,0.8558,0.0112,0.0684,0.0049,0.1836,0.0083,8.6953,0.4141,0.5989,0.0051,1.5423,0.0157,1.6548,0.0253,0.0998,0.0011,0.3134,0.0323,24.1535,0.2564,1.4176,0.0167,4.1044,0.1653,2.0023,0.0453,0.1063,0.0046,0.5995,0.0094,29.3136,0.4531,1.4513,0.0394,8.1298,0.0426
0.11.2, 13/11/2024 09:46:20,1.2497,0.019,0.0645,0.0006,0.2333,0.0074,12.5791,0.2532,0.6023,0.0184,2.0329,0.0377,0.8824,0.016,0.0676,0.0001,0.1932,0.0074,8.4859,0.0106,0.6328,0.0072,1.5491,0.0287,1.7246,0.0188,0.1056,0.0016,0.3201,0.009,25.1528,0.5846,1.4855,0.0071,4.6009,0.1266,2.0235,0.0174,0.1135,0.0025,0.6057,0.0057,29.269,0.5148,1.5547,0.0225,8.8452,0.2573
0.11.3, 18/11/2024 22:00:10,1.1977,0.0041,0.0614,0.0006,0.2097,0.0059,11.897,0.1254,0.5723,0.0119,1.9069,0.0544,0.8432,0.0066,0.0659,0.0009,0.1745,0.003,8.4187,0.3196,0.614,0.0064,1.7302,0.1918,1.7725,0.0502,0.1088,0.0022,0.3057,0.0097,24.8389,1.0028,1.6105,0.0791,4.4626,0.1301,2.0433,0.0796,0.1261,0.0023,0.658,0.0422,29.5806,1.1944,1.612,0.0302,9.2682,0.4399
0.11.4, 25/11/2024 13:47:34,1.1965,0.0067,0.0656,0.0007,0.2081,0.0011,12.0259,0.1258,0.5992,0.0031,1.9689,0.035,0.8615,0.0301,0.071,0.0015,0.1781,0.0037,8.1765,0.093,0.615,0.0051,1.5196,0.021,1.6505,0.0132,0.1175,0.0006,0.306,0.0093,24.5149,0.4404,1.6367,0.0394,4.0881,0.0509,1.945,0.0223,0.1238,0.0014,0.5835,0.0187,28.3889,0.4499,1.671,0.0108,8.3209,0.1614
0.13.0, 03/04/2025 12:57:12,0.7604,0.0044,0.0407,0.0002,0.1767,0.0012,7.4715,0.0076,0.364,0.0013,1.6246,0.0119,0.5528,0.0033,0.0444,0.0002,0.1356,0.0002,5.3986,0.028,0.4014,0.0011,1.2098,0.0054,1.0294,0.005,0.0635,0.0002,0.2511,0.0007,15.4919,0.6181,0.8568,0.0013,3.4825,0.015,1.2477,0.0034,0.0666,0.0002,0.4538,0.0018,18.2989,0.0389,0.9002,0.0034,6.4956,0.0494
Got a nicer computer before 0.14.0 so expect numbers to be higher in general.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.14.0, 13/08/2025 14:42:45,0.3812,0.0013,0.0251,0.0001,0.0947,0.0012,3.5831,0.0276,0.2276,0.0009,0.8828,0.0083,0.2614,0.0042,0.0249,0.0002,0.0694,0.0007,2.5692,0.0733,0.2306,0.0017,0.6293,0.008,0.5028,0.0021,0.0356,0.0009,0.1362,0.0006,7.532,0.0512,0.5146,0.0043,1.8842,0.0145,0.5901,0.0041,0.0382,0.0002,0.2309,0.0017,9.0263,0.1583,0.5527,0.0087,3.3062,0.0291
0.15.0, 13/08/2025 21:32:22, 0.3684, 0.0027, 0.0239, 0.0003, 0.0942, 0.0011, 3.6130, 0.0328, 0.2259, 0.0035, 0.8905, 0.0032, 0.2583, 0.0022, 0.0238, 0.0001, 0.0697, 0.0002, 2.5291, 0.0221, 0.2234, 0.0037, 0.6314, 0.0011, 0.5116, 0.0046, 0.0352, 0.0002, 0.1351, 0.0023, 7.7734, 0.1485, 0.5005, 0.0019, 1.8839, 0.0150, 0.5980, 0.0054, 0.0386, 0.0004, 0.2314, 0.0004, 8.9125, 0.0956, 0.5478, 0.0026, 3.3192, 0.0189
